Región,Precio,Habitaciones,Baños,Superfície,Dirección,Tipo de inmueble,Orientación,Estado,Antigüedad,Planta,Ascensor,Amueblado,Consumo energía,Emisiones,Calefacción,Agua caliente,Parking
Madrid,155.000 €,2 habs.,1 baño,75 m²,Madrid - Zofio,Planta baja,,,,,,,"F
1 kW h m² / año","F
999 kg CO₂ m² / año",,,
Madrid,160.000 €,2 habs.,1 baño,72 m²,Arganzuela-Madrid Río,Piso,,,,,Sí,No,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Madrid,552.000 €,1 hab.,1 baño,120 m²,De Santa Barbara - 6 - Justicia - Chueca,Piso,,,+ 100 años,Bajos,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Madrid,167.500 €,3 habs.,1 baño,77 m²,Calle del Centeno - Zofio,Piso,,,,7ª planta,Sí,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Madrid,398.000 €,2 habs.,1 baño,112 m²,Avenida de Arcentales - Simancas,Ático,Sureste,Casi nuevo,10 a 20 años,6ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,Gas Natural,Privado
Madrid,299.000 €,2 habs.,1 baño,61 m²,Calle de Ramos Carrión - Prosperidad,Piso,Sur,Bien,50 a 70 años,3ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,,
Madrid,409.000 €,4 habs.,2 baños,112 m²,Calle de Juan Duque - Imperial,Piso,Este,Bien,50 a 70 años,1ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,,
Madrid,849.000 €,3 habs.,2 baños,133 m²,Calle de María de las Mercedes de Borbón - Valdebebas - Valdefuentes,Ático,,Casi nuevo,Menos de 1 año,10ª planta,Sí,,"B
37.29 kW h m² / año","A
7.6 kg CO₂ m² / año",Electricidad,,Privado
Madrid,690.000 €,2 habs.,3 baños,113 m²,Madrid - Goya,Piso,,,,6ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Barcelona,191.500 €,1 baño,43 m²,2ª Planta,Calle Santa Leonor - Simancas,Estudio,,,10 a 20 años,2ª planta,Sí,,"D
360 kW h m² / año","E
64 kg CO₂ m² / año",,,Privado
Barcelona,340.000 €,2 habs.,1 baño,66 m²,Carrer de L'esparteria - Sant Pere - Sta. Caterina i la Ribera,Piso,,A reformar,,,,No,"F
228 kW h m² / año","E
47 kg CO₂ m² / año",,,
Barcelona,816.000 €,2 habs.,2 baños,148 m²,Carrer de la Diputació - L'Antiga Esquerra de l'Eixample,Piso,,Muy bien,,2ª planta,Sí,,"D
71 kW h m² / año","D
14 kg CO₂ m² / año",,,
Barcelona,355.000 €,3 habs.,1 baño,93 m²,Lleó - Bellaterra,Casa o chalet,,,,,,,"E
99 kW h m² / año","E
42 kg CO₂ m² / año",,,Privado
Barcelona,1.100.000 €,5 habs.,3 baños,280 m²,Carrer de Muntaner - Sant Gervasi- Galvany,Piso,Sur,Bien,,3ª planta,Sí,,"D
175 kW h m² / año","D
84 kg CO₂ m² / año",Gas Natural,,Privado
Barcelona,148.000 €,3 habs.,1 baño,55 m²,Carrer Federico García Lorca - Sant Adrià de Besòs,Piso,,,50 a 70 años,,Sí,,"F
224 kW h m² / año","E
46 kg CO₂ m² / año",,,
