Región,Precio,Habitaciones,Baños,Superfície,Dirección,Tipo de inmueble,Orientación,Estado,Antigüedad,Planta,Ascensor,Amueblado,Consumo energía,Emisiones,Calefacción,Agua caliente,Parking
Valencia,797.000 €,5 habs.,2 baños,192 m²,Madrid - Barri de les Corts,Piso,,,,,Sí,,"D
76 kW h m² / año","D
16 kg CO₂ m² / año",,,
Valencia,139.000 €,2 habs.,1 baño,80 m²,Brutau - Sol i Padris - Sant Oleguer,Piso,,,30 a 50 años,6ª planta,Sí,,"D
68 kW h m² / año","D
16 kg CO₂ m² / año",,,
Valencia,210.000 €,2 habs.,1 baño,70 m²,Mercat - Escoles Ribes,Piso,,,,,Sí,,"D
88 kW h m² / año","D
18 kg CO₂ m² / año",,,Privado
Valencia,110.000 €,3 habs.,1 baño,78 m²,Pere D'om - Creu de Barberà,Piso,,,,,,,"F
999 kW h m² / año","F
999 kg CO₂ m² / año",,,
Valencia,54.000 €,2 habs.,1 baño,59 m²,Osona - Ca n'Oriac,Piso,,,50 a 70 años,2ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Valencia,550.000 €,2 habs.,1 baño,87 m²,Sarria,Piso,,Muy bien,,1ª planta,Sí,No,"G
240 kW h m² / año","E
999 kg CO₂ m² / año",,,
Valencia,1.330.000 €,4 habs.,3 baños,196 m²,Castelldefels - La Pineda,Casa adosada,,,,,,,"C
895 kW h m² / año","G
195 kg CO₂ m² / año",,,Privado
Valencia,1.395.000 €,2 habs.,2 baños,150 m²,Castelldefels,Casa o chalet,,,,,,No,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Valencia,,,,,,,,,,,,,,,,,
Valencia,315.000 €,3 habs.,2 baños,118 m²,Doctor Buenaventura Carre - Fígares,Piso,,,,1ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Valencia,137.000 €,3 habs.,1 baño,95 m²,Can Boada-Torrent d´en Pere Parres,Piso,,,30 a 50 años,1ª planta,Sí,,"E
172 kW h m² / año","E
36 kg CO₂ m² / año",,,
Valencia,626.000 €,5 habs.,2 baños,144 m²,Barcelona - Vila de Gràcia,Piso,,,,2ª planta,Sí,,"E
155 kW h m² / año","E
39 kg CO₂ m² / año",,,
Valencia,890.000 €,4 habs.,3 baños,299 m²,Escriptor Josep Roig I Raventos - Can Girona - Terramar - Vinyet,Casa adosada,,,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Valencia,165.000 €,4 habs.,1 baño,123 m²,Murcia - San Antolin,Piso,,,,2ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Valencia,1.250.000 €,7 habs.,4 baños,521 m²,L'Eliana - L'Eliana pueblo,Casa o chalet,Sureste,Muy bien,10 a 20 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,Gas Natural,Privado
Valencia,578.000 €,3 habs.,3 baños,113 m²,Provença - L'Antiga Esquerra de l'Eixample,Piso,,Muy bien,70 a 100 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Valencia,730.000 €,4 habs.,2 baños,136 m²,Sarrià - Sant Gervasi - Sarrià,Piso,,,30 a 50 años,3ª planta,Sí,No,"F
231 kW h m² / año","E
48 kg CO₂ m² / año",,,Comunitario
Valencia,699.000 €,4 habs.,2 baños,204 m²,Rafael Llopart - Aiguadolç - Sant Sebastià,Casa o chalet,,,,,,,"E
1 kW h m² / año","E
40 kg CO₂ m² / año",,,
Valencia,495.000 €,3 habs.,1 baño,120 m²,Comtessa de Sobradiel - Barri Gòtic,Piso,,Bien,+ 100 años,3ª planta,Sí,No,"E
999 kW h m² / año","E
999 kg CO₂ m² / año",Gas Natural,Gas Natural,
Málaga,699.000 €,4 habs.,2 baños,160 m²,Avenida Manuel Agustín Heredia - Ensanche Centro - Puerto,Piso,Sur,Casi nuevo,,,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Málaga,184.300 €,2 habs.,2 baños,166 m²,Calle Valle de Somiedo - La Cala Golf - Lagar Martell,Piso,,,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Comunitario
Málaga,185.000 €,2 habs.,1 baño,61 m²,De Andalucía - Centro,Piso,Sur,Muy bien,,6ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Málaga,250.000 €,2 habs.,2 baños,88 m²,Estepona - Puerto - Plaza de Toros,Apartamento,,,,3ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Málaga,140.000 €,2 habs.,1 baño,60 m²,Centro,Apartamento,Oeste,Bien,,5ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Málaga,360.000 €,4 habs.,3 baños,159 m²,Calle Doña María de las Mercedes - Los Pacos,Dúplex,Sureste,Muy bien,10 a 20 años,3ª planta,Sí,,"E
20 kW h m² / año","D
20 kg CO₂ m² / año",,,Privado
Málaga,290.000 €,3 habs.,3 baños,190 m²,Arenas,Finca rústica,,,10 a 20 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Málaga,200.000 €,3 habs.,2 baños,145 m²,Cruz Verde - Norte - Barrio del Pilar - El Reñidero,Piso,Oeste,Muy bien,10 a 20 años,2ª planta,Sí,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Málaga,,,,,,,,,,,,,,,,,
Málaga,1.200.000 €,3 habs.,2 baños,224 m²,Fuengirola,Ático,,,1 a 5 años,3ª planta,Sí,Sí,"B
21.1 kW h m² / año","B
3.64 kg CO₂ m² / año",,,Privado
Málaga,208.500 €,2 habs.,2 baños,126 m²,Avenida del Arroyo - Solymar,Piso,,Bien,10 a 20 años,3ª planta,Sí,,"E
20 kW h m² / año","E
20 kg CO₂ m² / año",,,Privado
Málaga,440.000 €,3 habs.,2 baños,112 m²,Calle Pablo de Sarasate - El Palo,Piso,Sur,Casi nuevo,10 a 20 años,,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Málaga,233.500 €,3 habs.,2 baños,92 m²,Comercio - Rincón de la Victoria ciudad,Piso,,A reformar,,2ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Málaga,211.500 €,2 habs.,2 baños,97 m²,Calle Arroyo Hondo - Torremuelle,Piso,Oeste,Muy bien,,2ª planta,Sí,,"D
20 kW h m² / año","D
20 kg CO₂ m² / año",,,Privado
Málaga,294.500 €,3 habs.,3 baños,179 m²,Urbanización Casares Golf y Country Club - 58 - Casares Golf - Casares del Sol,Piso,,Muy bien,,1ª planta,Sí,,"E
20 kW h m² / año","E
20 kg CO₂ m² / año",,,Privado
Málaga,125.300 €,1 hab.,1 baño,61 m²,Puerto de Estepona,Piso,,Bien,20 a 30 años,3ª planta,Sí,,"E
20 kW h m² / año","E
20 kg CO₂ m² / año",,,
Málaga,125.300 €,1 hab.,1 baño,61 m²,Torre Almenara - Urb. Bermeja - Mirador del Puerto - - S/n - Puerto de Estepona,Piso,,,20 a 30 años,3ª planta,Sí,,"E
84 kW h m² / año","E
17 kg CO₂ m² / año",,,
Málaga,1.180.000 €,4 habs.,4 baños,262 m²,Velilla - Velilla Taramay,Casa o chalet,,A reformar,,,,,Exento,Exento,,,Privado
Málaga,127.000 €,1 hab.,1 baño,50 m²,Los Pacos.,Apartamento,Este,Bien,30 a 50 años,1ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Málaga,445.000 €,4 habs.,4 baños,183 m²,Benalmádena,Casa adosada,,Bien,20 a 30 años,,,No,Exento,Exento,Electricidad,Electricidad,Privado
Málaga,138.900 €,1 hab.,2 baños,72 m²,Cártama - ESTACIÓN DE CARTAMA,Piso,,Casi nuevo,,1ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Málaga,395.000 €,2 habs.,2 baños,80 m²,Benalmádena,Apartamento,,,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Málaga,59.900 €,1 hab.,1 baño,73 m²,Calle Higuera - Angustias - Chana - Encina,Piso,Sur,Muy bien,,Bajos,,,"E
307.4 kW h m² / año","E
57.41 kg CO₂ m² / año",,,
Málaga,270.300 €,4 habs.,2 baños,186 m²,Calle Cataluña - 44 - Los Castillejos - La Trinidad,Piso,,Bien,,5ª planta,Sí,,"E
20 kW h m² / año","E
20 kg CO₂ m² / año",,,
Málaga,256.500 €,3 habs.,1 baño,153 m²,Josefa Morales - 39 - Churriana - El Pizarrillo - La Noria-Guadalsol,Casa adosada,,,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Málaga,207.100 €,3 habs.,1 baño,134 m²,Calle Jerez Perchet - 26 - Cortijo Bazán - Los Casinis - Los Cipreses,Piso,,,30 a 50 años,4ª planta,Sí,,"E
20 kW h m² / año","E
20 kg CO₂ m² / año",,,Privado
Málaga,140.000 €,2 habs.,1 baño,76 m²,Bailén - Miraflores - Suárez,Piso,Este,Bien,,Bajos,Sí,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Málaga,100.000 €,1 hab.,1 baño,42 m²,Bailén - Miraflores - La Florida - Parque Norte,Piso,,Bien,,Bajos,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Málaga,90.000 €,1 baño,32 m²,3ª Planta,Torremolinos - La Colina,Estudio,Sur,Muy bien,,3ª planta,Sí,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Málaga,435.000 €,3 habs.,2 baños,274 m²,Urbanización Torreblanca del Sol - Torreblanca,Casa o chalet,,,30 a 50 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Málaga,180.000 €,2 habs.,1 baño,60 m²,Avenida Mar y Sol - Solymar,Piso,Sur,Casi nuevo,,4ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Comunitario
Málaga,797.000 €,5 habs.,2 baños,192 m²,Madrid - Barri de les Corts,Piso,,,,,Sí,,"D
76 kW h m² / año","D
16 kg CO₂ m² / año",,,
Málaga,139.000 €,2 habs.,1 baño,80 m²,Brutau - Sol i Padris - Sant Oleguer,Piso,,,30 a 50 años,6ª planta,Sí,,"D
68 kW h m² / año","D
16 kg CO₂ m² / año",,,
Málaga,210.000 €,2 habs.,1 baño,70 m²,Mercat - Escoles Ribes,Piso,,,,,Sí,,"D
88 kW h m² / año","D
18 kg CO₂ m² / año",,,Privado
Málaga,110.000 €,3 habs.,1 baño,78 m²,Pere D'om - Creu de Barberà,Piso,,,,,,,"F
999 kW h m² / año","F
999 kg CO₂ m² / año",,,
Málaga,54.000 €,2 habs.,1 baño,59 m²,Osona - Ca n'Oriac,Piso,,,50 a 70 años,2ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Málaga,550.000 €,2 habs.,1 baño,87 m²,Sarria,Piso,,Muy bien,,1ª planta,Sí,No,"G
240 kW h m² / año","E
999 kg CO₂ m² / año",,,
Málaga,1.330.000 €,4 habs.,3 baños,196 m²,Castelldefels - La Pineda,Casa adosada,,,,,,,"C
895 kW h m² / año","G
195 kg CO₂ m² / año",,,Privado
Málaga,1.395.000 €,2 habs.,2 baños,150 m²,Castelldefels,Casa o chalet,,,,,,No,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Málaga,,,,,,,,,,,,,,,,,
Málaga,315.000 €,3 habs.,2 baños,118 m²,Doctor Buenaventura Carre - Fígares,Piso,,,,1ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Málaga,137.000 €,3 habs.,1 baño,95 m²,Can Boada-Torrent d´en Pere Parres,Piso,,,30 a 50 años,1ª planta,Sí,,"E
172 kW h m² / año","E
36 kg CO₂ m² / año",,,
Málaga,626.000 €,5 habs.,2 baños,144 m²,Barcelona - Vila de Gràcia,Piso,,,,2ª planta,Sí,,"E
155 kW h m² / año","E
39 kg CO₂ m² / año",,,
Málaga,890.000 €,4 habs.,3 baños,299 m²,Escriptor Josep Roig I Raventos - Can Girona - Terramar - Vinyet,Casa adosada,,,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Málaga,165.000 €,4 habs.,1 baño,123 m²,Murcia - San Antolin,Piso,,,,2ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Málaga,1.250.000 €,7 habs.,4 baños,521 m²,L'Eliana - L'Eliana pueblo,Casa o chalet,Sureste,Muy bien,10 a 20 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,Gas Natural,Privado
Málaga,578.000 €,3 habs.,3 baños,113 m²,Provença - L'Antiga Esquerra de l'Eixample,Piso,,Muy bien,70 a 100 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Málaga,730.000 €,4 habs.,2 baños,136 m²,Sarrià - Sant Gervasi - Sarrià,Piso,,,30 a 50 años,3ª planta,Sí,No,"F
231 kW h m² / año","E
48 kg CO₂ m² / año",,,Comunitario
Málaga,699.000 €,4 habs.,2 baños,204 m²,Rafael Llopart - Aiguadolç - Sant Sebastià,Casa o chalet,,,,,,,"E
1 kW h m² / año","E
40 kg CO₂ m² / año",,,
Málaga,495.000 €,3 habs.,1 baño,120 m²,Comtessa de Sobradiel - Barri Gòtic,Piso,,Bien,+ 100 años,3ª planta,Sí,No,"E
999 kW h m² / año","E
999 kg CO₂ m² / año",Gas Natural,Gas Natural,
Sevilla,145.000 €,2 habs.,1 baño,60 m²,Calle Concepción Arenal - Tiro de Línea,Piso,Sureste,Bien,70 a 100 años,1ª planta,,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Electricidad,Electricidad,
Sevilla,135.000 €,3 habs.,1 baño,88 m²,Dos Hermanas,Casa adosada,,,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,123.000 €,3 habs.,1 baño,80 m²,Calle Lisboa - El Cerro,Piso,,Casi nuevo,,2ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,285.000 €,2 habs.,1 baño,112 m²,Kansas City - 28 - San Pablo,Piso,,,,2ª planta,Sí,,"G
168 kW h m² / año","G
65 kg CO₂ m² / año",,,Privado
Sevilla,200.000 €,3 habs.,1 baño,85 m²,Calle Urbión - El Plantinar – Avda. La Paz - El Juncal,Piso,,Muy bien,50 a 70 años,1ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,245.000 €,2 habs.,1 baño,75 m²,Hortaleza - Canillas,Piso,Sureste,Casi nuevo,,Bajos,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Electricidad,Electricidad,
Sevilla,146.000 €,2 habs.,1 baño,82 m²,Sevilla - Emilio Lemos,Piso,,,,4ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Sevilla,240.000 €,2 habs.,2 baños,130 m²,Avenida de Kansas City - San Pablo,Piso,,Casi nuevo,10 a 20 años,7ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Sevilla,,,,,,,,,,,,,,,,,
Sevilla,440.000 €,4 habs.,2 baños,186 m²,Hortaleza - Pinar del Rey,Piso,Sureste,Bien,,1ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,Gas Natural,
Sevilla,289.000 €,4 habs.,2 baños,143 m²,Calle Pepe Suero - El Cerro,Casa o chalet,,Casi nuevo,,Principal,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,65.000 €,3 habs.,1 baño,75 m²,Castilleja de la Cuesta - Nueva Sevilla,Piso,,Bien,30 a 50 años,3ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,479.000 €,4 habs.,2 baños,123 m²,Jose de la Camara - 7 - Alfalfa - Santa Cruz,Piso,,,,2ª planta,Sí,,"D
999 kW h m² / año","E
999 kg CO₂ m² / año",,,Privado
Sevilla,190.000 €,1 hab.,1 baño,46 m²,Casco Antiguo - Santa Catalina,Apartamento,,Casi nuevo,,Bajos,,No,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Electricidad,Electricidad,
Sevilla,120.000 €,3 habs.,2 baños,94 m²,Sor Ángela de la Cruz (torre de la Reina) - Guillena,Casa o chalet,Este,Muy bien,10 a 20 años,Bajos,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Sevilla,410.000 €,5 habs.,3 baños,263 m²,Mairena del Aljarafe - Simon Verde,Casa adosada,,,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,239.900 €,3 habs.,3 baños,145 m²,Dos Hermanas - Arco Norte - Avda. España,Casa o chalet,,Muy bien,10 a 20 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Sevilla,210.000 €,3 habs.,1 baño,85 m²,Calle Redes - 13 - San Vicente,Piso,,A reformar,50 a 70 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,210.000 €,2 habs.,2 baños,77 m²,Mairena del Aljarafe - Nuevo Bulevar,Piso,,Muy bien,10 a 20 años,3ª planta,Sí,,"D
77 kW h m² / año","D
64 kg CO₂ m² / año",,,Comunitario
Sevilla,399.000 €,3 habs.,2 baños,271 m²,Dos Hermanas - Entrenúcleos,Casa adosada,Este,A reformar,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Sevilla,440.000 €,4 habs.,3 baños,141 m²,Juan de Padilla - 2 - Barrio del Nervión,Piso,,,,8ª planta,Sí,,"E
999 kW h m² / año","E
999 kg CO₂ m² / año",,,
Sevilla,1.095.000 €,4 habs.,3 baños,209 m²,Avenida de Filipinas - Vallehermoso,Piso,Norte,A reformar,50 a 70 años,6ª planta,Sí,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,335.000 €,4 habs.,2 baños,146 m²,Calle Céfiro - La Calzada - La Florida,Piso,,Muy bien,30 a 50 años,1ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,320.000 €,4 habs.,3 baños,202 m²,Campanilla - Olivar de Quintos,Casa adosada,,,,,,,"C
56 kW h m² / año","B
9 kg CO₂ m² / año",,,Privado
Sevilla,169.990 €,2 habs.,1 baño,77 m²,Calle Afrodita - Bellavista,Piso,Noreste,Bien,10 a 20 años,1ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Comunitario
Sevilla,500.000 €,3 habs.,2 baños,148 m²,Avenida Flota de Indias - Los Remedios,Piso,,Casi nuevo,,1ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,180.000 €,5 habs.,2 baños,184 m²,Calle Calafates - Alcalá del Río,Casa o chalet,,Bien,,,,,"E
145.2 kW h m² / año","E
56.3 kg CO₂ m² / año",,,
Sevilla,280.000 €,3 habs.,3 baños,173 m²,San Juan de Aznalfarache - Barrio Bajo,Casa adosada,Este,Muy bien,10 a 20 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Comunitario
Sevilla,110.000 €,3 habs.,1 baño,62 m²,Avenida de Kansas City - San Pablo,Piso,Este,Muy bien,30 a 50 años,,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,120.000 €,3 habs.,2 baños,108 m²,Juan XXIII - Gibraleón,Ático,,,,2ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,140.000 €,3 habs.,2 baños,112 m²,Sevilla - Parque Alcosa,Piso,,,,4ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Sevilla,797.000 €,5 habs.,2 baños,192 m²,Madrid - Barri de les Corts,Piso,,,,,Sí,,"D
76 kW h m² / año","D
16 kg CO₂ m² / año",,,
Sevilla,139.000 €,2 habs.,1 baño,80 m²,Brutau - Sol i Padris - Sant Oleguer,Piso,,,30 a 50 años,6ª planta,Sí,,"D
68 kW h m² / año","D
16 kg CO₂ m² / año",,,
Sevilla,210.000 €,2 habs.,1 baño,70 m²,Mercat - Escoles Ribes,Piso,,,,,Sí,,"D
88 kW h m² / año","D
18 kg CO₂ m² / año",,,Privado
Sevilla,110.000 €,3 habs.,1 baño,78 m²,Pere D'om - Creu de Barberà,Piso,,,,,,,"F
999 kW h m² / año","F
999 kg CO₂ m² / año",,,
Sevilla,54.000 €,2 habs.,1 baño,59 m²,Osona - Ca n'Oriac,Piso,,,50 a 70 años,2ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,550.000 €,2 habs.,1 baño,87 m²,Sarria,Piso,,Muy bien,,1ª planta,Sí,No,"G
240 kW h m² / año","E
999 kg CO₂ m² / año",,,
Sevilla,1.330.000 €,4 habs.,3 baños,196 m²,Castelldefels - La Pineda,Casa adosada,,,,,,,"C
895 kW h m² / año","G
195 kg CO₂ m² / año",,,Privado
Sevilla,1.395.000 €,2 habs.,2 baños,150 m²,Castelldefels,Casa o chalet,,,,,,No,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,,,,,,,,,,,,,,,,,
Sevilla,315.000 €,3 habs.,2 baños,118 m²,Doctor Buenaventura Carre - Fígares,Piso,,,,1ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Sevilla,137.000 €,3 habs.,1 baño,95 m²,Can Boada-Torrent d´en Pere Parres,Piso,,,30 a 50 años,1ª planta,Sí,,"E
172 kW h m² / año","E
36 kg CO₂ m² / año",,,
Sevilla,626.000 €,5 habs.,2 baños,144 m²,Barcelona - Vila de Gràcia,Piso,,,,2ª planta,Sí,,"E
155 kW h m² / año","E
39 kg CO₂ m² / año",,,
Sevilla,890.000 €,4 habs.,3 baños,299 m²,Escriptor Josep Roig I Raventos - Can Girona - Terramar - Vinyet,Casa adosada,,,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Sevilla,165.000 €,4 habs.,1 baño,123 m²,Murcia - San Antolin,Piso,,,,2ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,1.250.000 €,7 habs.,4 baños,521 m²,L'Eliana - L'Eliana pueblo,Casa o chalet,Sureste,Muy bien,10 a 20 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,Gas Natural,Privado
Sevilla,578.000 €,3 habs.,3 baños,113 m²,Provença - L'Antiga Esquerra de l'Eixample,Piso,,Muy bien,70 a 100 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Sevilla,730.000 €,4 habs.,2 baños,136 m²,Sarrià - Sant Gervasi - Sarrià,Piso,,,30 a 50 años,3ª planta,Sí,No,"F
231 kW h m² / año","E
48 kg CO₂ m² / año",,,Comunitario
Sevilla,699.000 €,4 habs.,2 baños,204 m²,Rafael Llopart - Aiguadolç - Sant Sebastià,Casa o chalet,,,,,,,"E
1 kW h m² / año","E
40 kg CO₂ m² / año",,,
Sevilla,495.000 €,3 habs.,1 baño,120 m²,Comtessa de Sobradiel - Barri Gòtic,Piso,,Bien,+ 100 años,3ª planta,Sí,No,"E
999 kW h m² / año","E
999 kg CO₂ m² / año",Gas Natural,Gas Natural,
Zaragoza,215.000 €,3 habs.,2 baños,109 m²,Calafell - Playa de Calafell,Piso,,Casi nuevo,,4ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Zaragoza,222.999 €,3 habs.,2 baños,92 m²,Santa Lucía - San Pablo,Piso,Este,Muy bien,,3ª planta,Sí,,"E
999 kW h m² / año","E
999 kg CO₂ m² / año",Gas Natural,,Privado
Zaragoza,65.000 €,3 habs.,1 baño,246 m²,Eras - Morés,Casa o chalet,,,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Zaragoza,245.000 €,1 hab.,1 baño,60 m²,Calle de Torremanzanas - Playa Poniente,Apartamento,Sur,Casi nuevo,10 a 20 años,11ª planta,Sí,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,Gas Natural,Privado
Zaragoza,270.000 €,3 habs.,1 baño,91 m²,Galeón - Alameda de Osuna,Piso,,,,2ª planta,Sí,,"E
999 kW h m² / año","E
999 kg CO₂ m² / año",,,
Zaragoza,59.900 €,2 habs.,1 baño,50 m²,Nuestra Señora del Agua - Barrio de San José,Piso,,Bien,,5ª planta,,,Exento,Exento,,,
Zaragoza,70.000 €,4 habs.,1 baño,226 m²,Calle Albero - Leciñena,Casa o chalet,Oeste,Casi nuevo,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Zaragoza,27.999 €,3 habs.,2 baños,170 m²,Calle Costa - Muel,Casa o chalet,Sur,A reformar,,,,,Exento,Exento,,,
Zaragoza,,,,,,,,,,,,,,,,,
Zaragoza,124.999 €,2 habs.,2 baños,85 m²,Ramon y Cajal - Cadrete,Piso,Este,Muy bien,,,,,Exento,Exento,Gas Natural,Gas Natural,Privado
Zaragoza,177.999 €,3 habs.,3 baños,210 m²,Calle Francisco de Goya - Cadrete,Casa o chalet,Sur,Casi nuevo,,,,,Exento,Exento,Gas Natural,Gas Natural,Privado
Zaragoza,35.999 €,2 habs.,1 baño,63 m²,Diputación Provincial - Cabañas de Ebro,Finca rústica,,Casi nuevo,,,,,Exento,Exento,,,
Zaragoza,178.999 €,3 habs.,1 baño,130 m²,Avenida Virgen de la Fuente - Muel,Casa o chalet,Sur,Casi nuevo,,,,,Exento,Exento,,,
Zaragoza,375.000 €,496 m²,,,CASTELLON DE LA PLANA-CENTRO EXPTE.61,Casa o chalet,,,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Zaragoza,65.000 €,2 habs.,1 baño,56 m²,Paseo de Echegaray y Caballero - 188 - La Magdalena,Piso,,,,3ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,Gas Natural,
Zaragoza,135.000 €,3 habs.,2 baños,97 m²,Cartagena - Pinseque,Casa adosada,Este,Muy bien,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,Electricidad,Privado
Zaragoza,47.000 €,3 habs.,1 baño,113 m²,Remolinos,Casa o chalet,,,,,,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gasóleo,,
Zaragoza,51.000 €,6 habs.,2 baños,150 m²,Calle María del Ruste - Pina de Ebro,Casa o chalet,,,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Zaragoza,127.999 €,2 habs.,2 baños,180 m²,Luis Buñuel - Zuera,Casa o chalet,,Bien,,,,,Exento,Exento,,,Privado
Zaragoza,97.990 €,3 habs.,1 baño,95 m²,Calle Doce de Octubre - San José Alto,Piso,Sur,Bien,50 a 70 años,Principal,Sí,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,Gas Natural,
Zaragoza,131.999 €,3 habs.,1 baño,80 m²,Marcelino Unceta - Alfonso,Piso,,Muy bien,,1ª planta,,,Exento,Exento,Gas Natural,,
Zaragoza,98.999 €,4 habs.,2 baños,180 m²,Nacional 2 - Garrapinillos,Finca rústica,,Bien,,,,,Exento,Exento,,,
Zaragoza,639.999 €,7 habs.,3 baños,500 m²,Movera - Movera,Casa o chalet,,Bien,,,,,Exento,Exento,,,Privado
Zaragoza,96.000 €,3 habs.,1 baño,68 m²,Zaragoza - Casablanca,Piso,,,,3ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
